code,population
N11_219," 226,940 "
N11_221," 248,304 "
N11_222," 341,621 "
N11_223," 74,283 "
N11_224," 140,899 "
N11_225," 145,651 "
N11_227," 141,083 "
N11_228," 75,346 "
N11_229," 83,989 "
N11_230," 166,017 "
N11_231," 74,748 "
N11_232," 150,582 "
N11_233," 65,201 "
N11_234," 93,363 "
N11_235," 111,859 "
N11_237," 142,145 "
N11_238," 61,499 "
N11_239," 100,275 "
N11_240," 50,066 "
N11_241," 70,117 "
N11_242," 54,571 "
N11_243," 71,979 "
N11_245," 113,597 "
N11_246," 52,214 "
N11_301," 44,841 "
N11_324," 38,434 "
N11_326," 35,366 "
N11_327," 11,029 "
N11_341," 19,732 "
N11_342," 17,889 "
N11_343," 28,524 "
N11_346," 19,378 "
N11_347," 18,192 "
N11_348," 13,560 "
N11_349," 10,540 "
N11_361," 7,979 "
N11_362," 9,302 "
N11_363," 6,807 "
N11_365," 10,928 "
N11_369," 2,709 "
N11_381," 11,039 "
N11_383," 13,359 "
N11_385," 30,343 "
N11_408," 32,374 "
N11_442," 34,147 "
N11_464," 43,845 "
N11_465," 28,266 "
N12_000," 6,284,480 "
N12_100," 974,951 "
N12_101," 211,736 "
N12_102," 177,328 "
N12_103," 160,582 "
N12_104," 146,940 "
N12_105," 129,421 "
N12_106," 148,944 "
N12_202," 58,431 "
N12_203," 496,676 "
N12_204," 642,907 "
N12_205," 45,153 "
N12_206," 136,166 "
N12_207," 498,232 "
N12_208," 152,638 "
N12_210," 86,782 "
N12_211," 132,906 "
N12_212," 168,743 "
N12_213," 58,219 "
N12_215," 63,745 "
N12_216," 176,197 "
N12_217," 426,468 "
N12_218," 16,927 "
N12_219," 269,524 "
N12_220," 199,849 "
N12_221," 199,498 "
N12_222," 130,510 "
N12_223," 32,116 "
N12_224," 109,932 "
N12_225," 82,206 "
N12_226," 42,465 "
N12_227," 171,362 "
N12_228," 93,576 "
N12_229," 63,883 "
N12_230," 67,455 "
N12_231," 102,609 "
N12_232," 62,441 "
N12_233," 49,735 "
N12_234," 35,831 "
N12_235," 35,040 "
N12_236," 72,356 "
N12_237," 48,444 "
N12_238," 35,544 "
N12_239," 48,129 "
N12_322," 20,745 "
N12_329," 20,127 "
N12_342," 5,816 "
N12_347," 13,735 "
N12_349," 13,228 "
N12_403," 14,639 "
N12_409," 7,033 "
N12_410," 22,075 "
N12_421," 11,897 "
N12_422," 6,760 "
N12_423," 13,803 "
N12_424," 10,305 "
N12_426," 6,721 "
N12_427," 7,198 "
N12_441," 8,885 "
N12_443," 6,874 "
N12_463," 6,993 "
N13_000," 14,047,594 "
N13_100," 9,733,276 "
N13_101," 66,680 "
N13_102," 169,179 "
N13_103," 260,486 "
N13_104," 349,385 "
N13_105," 240,069 "
N13_106," 211,444 "
N13_107," 272,085 "
N13_108," 524,310 "
N13_109," 422,488 "
N13_110," 288,088 "
N13_111," 748,081 "
N13_112," 943,664 "
N13_113," 243,883 "
N13_114," 344,880 "
N13_115," 591,108 "
N13_116," 301,599 "
N13_117," 355,213 "
N13_118," 217,475 "
N13_119," 584,483 "
N13_120," 752,608 "
N13_121," 695,043 "
N13_122," 453,093 "
N13_123," 697,932 "
N13_201," 579,355 "
N13_202," 183,581 "
N13_203," 150,149 "
N13_204," 195,391 "
N13_205," 133,535 "
N13_206," 262,790 "
N13_207," 113,949 "
N13_208," 242,614 "
N13_209," 431,079 "
N13_210," 126,074 "
N13_211," 198,739 "
N13_212," 190,435 "
N13_213," 151,815 "
N13_214," 129,242 "
N13_215," 77,130 "
N13_218," 56,414 "
N13_219," 84,772 "
N13_220," 83,901 "
N13_221," 76,208 "
N13_222," 115,271 "
N13_223," 70,829 "
N13_224," 146,951 "
N13_225," 93,151 "
N13_227," 54,326 "
N13_228," 79,292 "
N13_229," 207,388 "
N13_303," 31,765 "
N13_305," 16,958 "
N13_307," 2,003 "
N13_308," 4,750 "
N13_361," 7,102 "
N13_362, 327 
N13_363," 2,441 "
N13_364," 1,855 "
N13_381," 2,273 "
N13_382, 323 
N13_401," 7,042 "
N13_402, 169 
N13_421," 2,929 "
N14_000," 9,237,337 "
N14_100," 3,777,491 "
N14_101," 297,437 "
N14_102," 247,267 "
N14_103," 104,935 "
N14_104," 151,388 "
N14_105," 198,157 "
N14_106," 207,811 "
N14_107," 166,731 "
N14_108," 198,939 "
N14_109," 358,530 "
N14_110," 283,709 "
N14_111," 215,248 "
N14_112," 245,174 "
N14_113," 183,082 "
N14_114," 122,623 "
N14_115," 120,194 "
N14_116," 152,378 "
N14_117," 310,756 "
N14_118," 213,132 "
N14_130," 1,538,262 "
N14_131," 232,965 "
N14_132," 171,119 "
N14_133," 263,683 "
N14_134," 234,328 "
N14_135," 221,734 "
N14_136," 233,728 "
N14_137," 180,705 "
N14_150," 725,493 "
N14_151," 170,207 "
N14_152," 273,875 "
N14_153," 281,411 "
N14_201," 388,078 "
N14_203," 258,422 "
N14_204," 172,710 "
N14_205," 436,905 "
N14_206," 188,856 "
N14_207," 242,389 "
N14_208," 57,060 "
N14_210," 42,069 "
N14_211," 162,439 "
N14_212," 223,705 "
N14_213," 239,169 "
N14_214," 101,780 "
N14_215," 136,516 "
N14_216," 132,325 "
N14_217," 40,841 "
N14_218," 83,913 "
N14_301," 31,665 "
N14_321," 48,348 "
N14_341," 31,634 "
N14_342," 27,564 "
N14_361," 9,300 "
N14_362," 17,129 "
N14_363," 10,836 "
N14_364," 9,761 "
N14_366," 18,329 "
N14_382," 11,293 "
N14_383," 6,722 "
N14_384," 23,426 "
N14_401," 39,869 "
N14_402," 3,038 "
N15_000," 2,201,272 "
N15_100," 789,275 "
N15_101," 72,804 "
N15_102," 134,446 "
N15_103," 180,345 "
N15_104," 67,972 "
N15_105," 75,069 "
N15_106," 43,437 "
N15_107," 160,656 "
N15_108," 54,546 "
N15_202," 266,936 "
N15_204," 94,642 "
N15_205," 81,526 "
N15_206," 94,927 "
N15_208," 34,096 "
N15_209," 25,441 "
N15_210," 49,820 "
N15_211," 39,237 "
N15_212," 57,418 "
N15_213," 77,201 "
N15_216," 40,765 "
N15_217," 30,383 "
N15_218," 47,625 "
N15_222," 188,047 "
N15_223," 40,696 "
N15_224," 51,492 "
